Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 25,respondent_id,survey_id,cnt
Congress of Chiropractic State Associations (ChiroCongress),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12134213653,295082383,3
Clinical Compass (CCGPP),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12134213653,295082383,4
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12134213653,295082383,5
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,71 - 80 years,Male,White/Caucasian,3.,12134364201,295082383,1
Foundation for Chiropractic Progress,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,71 - 80 years,Male,White/Caucasian,3.,12134364201,295082383,2
"All Women Chiropractic Association(s) - i.e. Women DCs, League of Chiropractic Women, etc.",,,5 - 10 years,31 - 40 years,Male,White/Caucasian,,12135034969,295082383,1
"All Women Chiropractic Association(s) - i.e. Women DCs, League of Chiropractic Women, etc.",,,11 - 20 years,20 - 30 years,,Native American/American Indian,,12135103301,295082383,1
Congress of Chiropractic State Associations (ChiroCongress),None of the above,College faculty,11 - 20 years,51 - 60 years,Male,White/Caucasian,4.,12137675487,295082383,1
State Chiropractic Association,None of the above,College faculty,11 - 20 years,51 - 60 years,Male,White/Caucasian,4.,12137675487,295082383,2
State Chiropractic Association,Multi-location practice,,11 - 20 years,41 - 50 years,Male,White/Caucasian,3.,12139042445,295082383,1
American Chiropractic Association (ACA),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,31 - 40 years,Male,White/Caucasian,,12140443624,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,,12140656294,295082383,1
Forward Thinking Chiropractic Alliance,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,,12140656294,295082383,2
Clinical Compass (CCGPP),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,,12140656294,295082383,3
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,,12140656294,295082383,4
State Chiropractic Association,Franchise,Young professional (Doctor of Chiropractic with less than 5 years in practice),Less than 5 years,20 - 30 years,Female,White/Caucasian,,12140860772,295082383,1
Clinical Compass (CCGPP),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,3.,12140737755,295082383,1
Foundation for Chiropractic Progress,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,3.,12140737755,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,3.,12140737755,295082383,3
State Chiropractic Association,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,20 - 30 years,Male,White/Caucasian,,12141023618,295082383,1
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12141002280,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12141002280,295082383,2
American Chiropractic Association (ACA),Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Female,White/Caucasian,4.,12141156856,295082383,1
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Female,White/Caucasian,4.,12141156856,295082383,2
American Chiropractic Association (ACA),Multi-location practice,Young professional (Doctor of Chiropractic with less than 5 years in practice),Less than 5 years,20 - 30 years,Male,White/Caucasian,3.,12141304540,295082383,1
State Chiropractic Association,Multi-location practice,Young professional (Doctor of Chiropractic with less than 5 years in practice),Less than 5 years,20 - 30 years,Male,White/Caucasian,3.,12141304540,295082383,2
American Chiropractic Association (ACA),Multi-location practice,Young professional (Doctor of Chiropractic with less than 5 years in practice),Less than 5 years,20 - 30 years,Female,White/Caucasian,3.,12141430431,295082383,1
State Chiropractic Association,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,31 - 40 years,Female,White/Caucasian,,12141310654,295082383,1
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,3.,12141641306,295082383,1
Congress of Chiropractic State Associations (ChiroCongress),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,3.,12141641306,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,3.,12141641306,295082383,3
State Licensing Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,3.,12141641306,295082383,4
Congress of Chiropractic State Associations (ChiroCongress),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,1. Vitalistic,12142098198,295082383,1
International Chiropractic Association (ICA),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,1. Vitalistic,12142098198,295082383,2
One Chiropractic,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,1. Vitalistic,12142098198,295082383,3
State Chiropractic Association,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,1. Vitalistic,12142098198,295082383,4
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12141984043,295082383,1
Clinical Compass (CCGPP),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12141984043,295082383,2
Forward Thinking Chiropractic Alliance,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12141984043,295082383,3
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12141984043,295082383,4
State Chiropractic Association,None of the above,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,4.,12142653152,295082383,1
State Licensing Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,20 - 30 years,Female,White/Caucasian,3.,12144642956,295082383,1
National Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,20 - 30 years,Female,White/Caucasian,3.,12144642956,295082383,2
Federation of International Chiropractors du Sport (FICS),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,20 - 30 years,Female,White/Caucasian,3.,12144642956,295082383,3
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,31 - 40 years,Male,White/Caucasian,2.,12144864952,295082383,1
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,4.,12144889988,295082383,1
National Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,4.,12144889988,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,4.,12144889988,295082383,3
American Chiropractic Association (ACA),Integrated / multidisciplinary facility,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12144944198,295082383,1
State Chiropractic Association,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Female,White/Caucasian,4.,12144982775,295082383,1
Vendor of products or services to the chiropractic profession,Integrated / multidisciplinary facility,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Female,White/Caucasian,,12145099280,295082383,1
American Chiropractic Association (ACA),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12145672132,295082383,1
Association of Chiropractic Colleges (ACC),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12145672132,295082383,2
Clinical Compass (CCGPP),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12145672132,295082383,3
Congress of Chiropractic State Associations (ChiroCongress),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12145672132,295082383,4
Council on Chiropractic Education,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12145672132,295082383,5
Federation of Chiropractic Licensing Boards,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12145672132,295082383,6
International Chiropractic Association (ICA),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12145672132,295082383,7
National Board,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12145672132,295082383,8
State Chiropractic Association,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12145672132,295082383,9
State Licensing Board,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12145672132,295082383,10
Student American Chiropractic Association (SACA),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12145672132,295082383,11
Student,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12145672132,295082383,12
Vendor of products or services to the chiropractic profession,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12145672132,295082383,13
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,,12145770422,295082383,1
American Chiropractic Association (ACA),Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,,12146404759,295082383,1
Foundation for Chiropractic Progress,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,,12146404759,295082383,2
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,,12146404759,295082383,3
Foundation for Chiropractic Progress,Integrated / multidisciplinary facility,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,3.,12147598047,295082383,1
International Chiropractic Pediatric Association,Integrated / multidisciplinary facility,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,3.,12147598047,295082383,2
State Chiropractic Association,Integrated / multidisciplinary facility,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,3.,12147598047,295082383,3
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,51 - 60 years,Male,White/Caucasian,,12147879011,295082383,1
International Chiropractic Association (ICA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,Prefer not to answer,2.,12148971037,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,Prefer not to answer,2.,12148971037,295082383,2
American Black Chiropractic Association (ABCA),Group member practitioner (single location),,21 - 30 years,71 - 80 years,Male,White/Caucasian,1. Vitalistic,12150964992,295082383,1
International Chiropractic Association (ICA),Group member practitioner (single location),,21 - 30 years,71 - 80 years,Male,White/Caucasian,1. Vitalistic,12150964992,295082383,2
State Chiropractic Association,Group member practitioner (single location),,21 - 30 years,71 - 80 years,Male,White/Caucasian,1. Vitalistic,12150964992,295082383,3
Clinical Compass (CCGPP),None of the above,Vendor/Business partner,N/A,41 - 50 years,Female,White/Caucasian,,12151298287,295082383,1
Vendor of products or services to the chiropractic profession,None of the above,Vendor/Business partner,N/A,41 - 50 years,Female,White/Caucasian,,12151298287,295082383,2
World Federation of Chiropractic,None of the above,Association Executive Director,N/A,51 - 60 years,Female,White/Caucasian,3.,12151279373,295082383,1
International Chiropractic Association (ICA),None of the above,Association Executive Director,N/A,51 - 60 years,Female,White/Caucasian,3.,12151279373,295082383,2
Foundation for Chiropractic Progress,None of the above,Association Executive Director,N/A,51 - 60 years,Female,White/Caucasian,3.,12151279373,295082383,3
Vendor of products or services to the chiropractic profession,None of the above,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Female,White/Caucasian,,12152776650,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,41 - 50 years,Male,White/Caucasian,,12152854388,295082383,1
International Chiropractic Association (ICA),None of the above,,31 - 40 years,51 - 60 years,Female,White/Caucasian,1. Vitalistic,12153252163,295082383,1
League of Chiropractic Women (LCW),None of the above,,31 - 40 years,51 - 60 years,Female,White/Caucasian,1. Vitalistic,12153252163,295082383,2
American Chiropractic Association (ACA),Integrated / multidisciplinary facility,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,Multi-Racial,5. Multi-Disciplinary / Integrated,12155243172,295082383,1
State Chiropractic Association,Integrated / multidisciplinary facility,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,Multi-Racial,5. Multi-Disciplinary / Integrated,12155243172,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,31 - 40 years,Male,White/Caucasian,,12155371954,295082383,1
State Chiropractic Association,None of the above,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Female,White/Caucasian,,12155640416,295082383,1
American Chiropractic Association (ACA),Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Female,White/Caucasian,,12156047854,295082383,1
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Female,White/Caucasian,,12156047854,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,3.,12155850669,295082383,1
Vendor of products or services to the chiropractic profession,None of the above,Vendor/Business partner,N/A,31 - 40 years,Female,White/Caucasian,,12156381350,295082383,1
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,31 - 40 years,Male,White/Caucasian,,12156395096,295082383,1
State Chiropractic Association,Group member practitioner (single location),Young professional (Doctor of Chiropractic with less than 5 years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,,12156387555,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,,12156397590,295082383,1
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,31 - 40 years,Male,White/Caucasian,,12156449293,295082383,1
American Chiropractic Association (ACA),Group member practitioner (single location),,5 - 10 years,31 - 40 years,Male,White/Caucasian,2.,12156416058,295082383,1
International Federation of Chiropractors and Organizations (IFCO),Group member practitioner (single location),,5 - 10 years,31 - 40 years,Male,White/Caucasian,2.,12156416058,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,,12156477073,295082383,1
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12156438887,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,,12156496664,295082383,1
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,31 - 40 years,Male,White/Caucasian,,12156507832,295082383,1
Foundation for Chiropractic Progress,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,4.,12156474518,295082383,1
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,4.,12156474518,295082383,2
American Black Chiropractic Association (ABCA),Solo practitioner,Young professional (Doctor of Chiropractic with less than 5 years in practice),5 - 10 years,20 - 30 years,Male,White/Caucasian,3.,12156433717,295082383,1
American Chiropractic Association (ACA),Solo practitioner,Young professional (Doctor of Chiropractic with less than 5 years in practice),5 - 10 years,20 - 30 years,Male,White/Caucasian,3.,12156433717,295082383,2
Association of Chiropractic Colleges (ACC),Solo practitioner,Young professional (Doctor of Chiropractic with less than 5 years in practice),5 - 10 years,20 - 30 years,Male,White/Caucasian,3.,12156433717,295082383,3
"All Women Chiropractic Association(s) - i.e. Women DCs, League of Chiropractic Women, etc.",Solo practitioner,Young professional (Doctor of Chiropractic with less than 5 years in practice),5 - 10 years,20 - 30 years,Male,White/Caucasian,3.,12156433717,295082383,4
